City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
439,tarko-sale,64.9225,77.785,-20.22999999999999,86,89,4.8,RU,1701481081
440,al khafji,28.4391,48.4913,18.710000000000036,47,0,5.94,SA,1701481081
441,rodinghausen,52.25,8.4833,-2.509999999999991,98,93,0.67,DE,1701481081
442,fortaleza,-3.7227,-38.5247,28.370000000000005,84,20,4.12,BR,1701481081
443,saint-pierre,-21.3393,55.4781,24.82000000000005,65,99,3.09,RE,1701481081
444,kobelyaky,49.1489,34.1965,0.5400000000000205,97,100,2.3,UA,1701481082
445,san rafael del sur,11.8485,-86.4384,21.54000000000002,76,11,4.73,NI,1701481082
446,perechyn,48.7333,22.4667,2.3100000000000023,100,100,1.22,UA,1701481082
447,neubrandenburg,53.5667,13.2667,-4.67999999999995,99,84,1.63,DE,1701481083
448,berezovo,63.9381,65.0419,-22.23999999999998,99,99,2.66,RU,1701481083
449,umba,66.6871,34.3429,-10.060000000000002,93,100,3.86,RU,1701481083
450,broken hill,-31.95,141.4333,24.640000000000043,34,0,5.47,AU,1701481084
451,hashtpar,37.8008,48.9037,14.660000000000025,57,0,1.83,IR,1701481084
452,altay,47.8667,88.1167,-4.239999999999952,72,99,2.1,CN,1701481084
453,heyuan,23.7333,114.6833,15.970000000000027,55,98,2.46,CN,1701481085
454,krasnoyarsk,56.0097,92.7917,-1.7799999999999727,96,100,1.89,RU,1701481085
455,petrolina,-9.3986,-40.5008,26.03000000000003,44,0,2.06,BR,1701481085
456,mozhaysk,55.5019,36.0272,-15.810000000000002,100,99,1.59,RU,1701481085
457,gornopravdinsk,60.05,69.9,-18.68999999999997,99,88,1.06,RU,1701481086
458,margate,51.3813,1.3862,3.160000000000025,85,100,1.34,GB,1701481086
459,mizdah,31.4451,12.9801,14.550000000000011,25,100,2.75,LY,1701481086
460,makary,12.5717,14.4666,24.07000000000005,49,39,4.01,CM,1701481086
461,regina,50.4501,-104.6178,-4.419999999999959,77,75,6.17,CA,1701481087
462,makassar,-5.14,119.4221,31.03000000000003,74,20,1.54,ID,1701481087
463,manismata,-2.4667,111.0333,29.010000000000048,68,100,0.89,ID,1701481087
464,ibirama,-27.0569,-49.5178,23.700000000000045,92,96,1.18,BR,1701480991
465,magadan,59.5667,150.8,-8.539999999999964,84,100,4.7,RU,1701481088
466,pacocha,-17.5833,-71.3333,19.170000000000016,83,62,1.61,PE,1701481088
467,as sulayyil,20.4607,45.5779,16.140000000000043,39,0,3.45,SA,1701481088
468,lib,8.3122,167.3766,28.010000000000048,74,79,9.01,MH,1701481089
469,ola,59.5833,151.2833,-8.169999999999959,87,100,4.29,RU,1701481089
470,mount pearl,47.5166,-52.7813,4.520000000000039,94,100,8.75,CA,1701480958
471,kavaratti,10.5669,72.642,28.510000000000048,71,66,5.87,IN,1701481089
472,garoua,9.3,13.4,25.090000000000032,25,67,0.9,CM,1701481090
473,bismarck,46.8083,-100.7837,-1.3100000000000023,72,100,3.6,US,1701481090
474,huarmey,-10.0681,-78.1522,20.720000000000027,85,92,3.9,PE,1701481090
475,arno,60.1167,18.6333,-1.7899999999999636,94,100,6.86,SE,1701481090
476,inari,68.906,27.0288,-12.889999999999986,100,100,1.05,FI,1701481091
477,kincardine,56.0667,-3.7167,-0.44999999999998863,91,89,0.06,GB,1701481091
478,ronne,55.1009,14.7066,-0.049999999999954525,86,75,3.09,DK,1701481091
479,cidreira,-30.1811,-50.2056,21.980000000000018,93,36,9.55,BR,1701481092
480,urjala,61.0833,23.5333,-7.949999999999989,98,72,1.8,FI,1701481092
481,tsiombe,-25.3,45.4833,20.49000000000001,72,83,5.94,MG,1701481092
482,richards bay,-28.783,32.0377,19.77000000000004,66,0,7.55,ZA,1701481092
483,odienne,9.51,-7.5692,26.760000000000048,53,97,1.44,CI,1701481093
484,talant,47.3369,5.0089,1.3400000000000318,87,100,4.63,FR,1701481093
485,ariquemes,-9.9133,-63.0408,23.08000000000004,96,100,0.4,BR,1701481093
486,purushottampur,19.5333,84.8833,21.82000000000005,70,70,1.51,IN,1701481093
487,lucapa,-8.4192,20.7447,17.370000000000005,98,97,0.17,AO,1701481094
488,huanren,41.2647,125.3667,-4.899999999999977,75,100,2.18,CN,1701481094
489,kondopoga,62.2057,34.2614,-7.3700000000000045,99,100,1.86,RU,1701481094
490,nizhyn,51.048,31.8869,-3.0499999999999545,97,100,0.48,UA,1701481094
491,bardai,11.65,7.2333,20.02000000000004,20,67,3.81,NG,1701481095
492,opuwo,-18.0607,13.84,21.54000000000002,71,100,2.71,,1701481095
493,castillos,-34.1667,-53.8333,19.670000000000016,98,100,4.51,UY,1701481095
494,griffith,41.5284,-87.4237,6.170000000000016,94,100,2.06,US,1701480834
495,san luis de la loma,17.2706,-100.8939,26.400000000000034,77,100,1.69,MX,1701481095
496,mineiros,-17.5694,-52.5511,23.920000000000016,60,97,0.99,BR,1701480994
497,navia,43.5354,-6.7194,8.760000000000048,92,87,1.61,ES,1701481096
498,ankang,32.68,109.0172,9.150000000000034,54,32,0.46,CN,1701481097
499,mahilyow,53.9139,30.3364,-12.0,98,100,2.63,BY,1701481097
500,adjumani,3.3779,31.7909,21.58000000000004,70,60,1.13,UG,1701481097
501,kattivakkam,13.2167,80.3167,26.05000000000001,89,99,7.87,IN,1701481097
502,gombi,10.1614,12.7399,21.5,22,14,3.03,NG,1701481097
503,angaur state,6.906,134.13,29.010000000000048,76,75,7.91,PW,1701481098
504,tamiahua,21.2667,-97.45,23.600000000000023,88,100,2.59,MX,1701481098
505,walvis bay,-22.9575,14.5053,17.83000000000004,88,94,1.54,,1701481098
506,myeik,12.4333,98.6,27.24000000000001,73,38,2.33,MM,1701481098
507,flin flon,54.7682,-101.865,-14.95999999999998,100,75,1.5,CA,1701481098
508,middle island,40.8843,-72.9373,9.110000000000014,93,100,3.6,US,1701481099
509,kununurra,-15.7667,128.7333,35.99000000000001,46,60,2.57,AU,1701481099
510,sines,37.9562,-8.8698,12.939999999999998,74,58,0.45,PT,1701481099
511,lupane,-18.9315,27.807,16.370000000000005,61,0,2.46,ZW,1701481099
512,hughson,37.5969,-120.866,14.270000000000039,57,0,2.57,US,1701481100
513,piacabucu,-10.4056,-36.4344,25.49000000000001,82,28,4.45,BR,1701481100
514,dolores,-36.3132,-57.6792,17.04000000000002,97,81,1.45,AR,1701481100
515,oranjemund,-28.55,16.4333,16.58000000000004,86,85,4.87,,1701481100
516,pangody,65.85,74.4859,-20.70999999999998,95,41,3.78,RU,1701480865
517,langepas,61.2544,75.2124,-22.25999999999999,100,71,1.75,RU,1701481101
518,quesnel,52.9999,-122.5029,1.2800000000000296,64,100,4.12,CA,1701481101
519,tual,-5.6667,132.75,28.720000000000027,72,32,1.02,ID,1701481101
520,gebeit,21.0667,36.3167,19.650000000000034,89,0,2.19,SD,1701481101
521,shingu,33.7333,135.9833,10.990000000000009,48,6,5.03,JP,1701480987
522,yanchep,-31.55,115.6833,27.75,57,38,4.64,AU,1701481102
523,arendal,58.4615,8.7725,-12.109999999999957,67,100,2.13,NO,1701481102
524,remire-montjoly,4.9167,-52.2667,24.02000000000004,94,0,0.0,GF,1701481102
525,tezu,27.9167,96.1667,22.180000000000007,41,98,0.21,IN,1701481102
526,acapulco de juarez,16.8634,-99.8901,27.900000000000034,78,100,1.03,MX,1701480985
527,cannonvale,-20.2833,148.7,29.660000000000025,67,99,5.24,AU,1701481103
528,mossel bay,-34.1831,22.146,18.960000000000036,78,18,3.1,ZA,1701481103
529,east ballina,-28.8667,153.5833,29.480000000000018,48,7,3.29,AU,1701481003
530,sai buri,6.7013,101.6168,25.54000000000002,89,100,3.7,TH,1701481104
531,palu,-0.8917,119.8707,31.200000000000045,68,86,0.71,ID,1701481104
532,kidal,18.4411,1.4078,24.560000000000002,18,44,2.98,ML,1701481104
533,wotho,10.1657,166.0102,28.27000000000004,72,97,8.72,MH,1701481104
534,leava,-14.3,-178.1667,28.49000000000001,80,94,7.43,WF,1701481104
535,pervomayskiy,53.2485,40.2871,-6.729999999999961,94,96,5.68,RU,1701481105
536,plaza huincul,-38.926,-69.2086,16.75,10,1,4.92,AR,1701481105
537,conception bay south,47.4999,-52.9981,4.850000000000023,94,100,9.61,CA,1701481105
538,taro,-8.3862,115.28,24.0,85,100,1.35,ID,1701481105
539,leesville,31.1435,-93.261,21.129999999999995,100,100,3.09,US,1701480877
